,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,Date
1,Russia,All Types,154,81,115,8,358,3/1/2022
2,Russia,Tanks,13,19,11,1,44,3/1/2022
3,Russia,Armoured Fighting Vehicles,16,8,12,0,36,3/1/2022
4,Russia,Infantry Fighting Vehicles,14,21,13,0,48,3/1/2022
5,Russia,Armoured Personnel Carriers,7,5,2,0,14,3/1/2022
6,Russia,Mine-Resistant Ambush Protected,1,0,2,0,3,3/1/2022
7,Russia,Infantry Mobility Vehicles,12,2,7,1,22,3/1/2022
8,Russia,Communications Station,1,1,1,0,3,3/1/2022
9,Russia,Engineering Vehicles,6,1,10,0,17,3/1/2022
10,Russia,Anti-tank Guided Missiles,0,0,6,0,6,3/1/2022
11,Russia,"Man-Portable Air Defence Systems
",0,0,1,0,1,3/1/2022
12,Russia,Heavy Mortars,0,0,2,0,2,3/1/2022
13,Russia,Towed Artillery,2,0,2,0,4,3/1/2022
14,Russia,Self-Propelled Artillery,1,4,1,0,6,3/1/2022
15,Russia,Multiple Rocket Launchers,3,0,6,0,9,3/1/2022
16,Russia,Self-propelled Anti-Aircraft Guns,0,2,0,0,2,3/1/2022
17,Russia,Surface-To-Air Missile Systems,6,3,4,1,14,3/1/2022
18,Russia,Jammers And Deception Systems,0,0,0,1,1,3/1/2022
19,Russia,Aircraft,3,0,0,0,3,3/1/2022
20,Russia,Helicopters,4,0,0,2,6,3/1/2022
21,Russia,Logistics Trains,2,0,0,0,2,3/1/2022
22,Russia,"Trucks, Vehicles and Jeeps",59,19,37,2,117,3/1/2022
23,Ukraine,All Types,55,39,53,4,151,3/1/2022
24,Ukraine,Tanks,5,9,1,0,15,3/1/2022
25,Ukraine,Armoured Fighting Vehicles,6,11,5,0,22,3/1/2022
26,Ukraine,Infantry Fighting Vehicles,0,6,3,0,9,3/1/2022
27,Ukraine,Armoured Personnel Carriers,1,2,6,0,9,3/1/2022
28,Ukraine,Infantry Mobility Vehicles,2,0,4,0,6,3/1/2022
29,Ukraine,Anti-tank Guided Missiles,0,0,12,0,12,3/1/2022
30,Ukraine,"Man-Portable Air Defence Systems
",0,0,7,0,7,3/1/2022
31,Ukraine,Towed Artillery,0,2,0,0,2,3/1/2022
32,Ukraine,Self-Propelled Artillery,2,1,2,0,5,3/1/2022
33,Ukraine,"Surface-To-Air Missile Systems
",6,0,0,0,6,3/1/2022
34,Ukraine,Radars,3,0,0,2,5,3/1/2022
35,Ukraine,Aircraft,5,0,0,0,5,3/1/2022
36,Ukraine,"Trucks, Vehicles and Jeeps",15,5,13,2,35,3/1/2022
1,Russia,All Types,1155,233,849,41,2278,4/1/2022
2,Russia,Tanks,179,42,161,6,388,4/1/2022
3,Russia,Armoured Fighting Vehicles,123,32,108,0,263,4/1/2022
4,Russia,Infantry Fighting Vehicles,212,31,129,2,374,4/1/2022
5,Russia,Armoured Personnel Carriers,21,17,42,1,81,4/1/2022
6,Russia,Mine-Resistant Ambush Protected,9,3,5,0,17,4/1/2022
7,Russia,Infantry Mobility Vehicles,43,5,22,2,72,4/1/2022
8,Russia,Communications Stations,4,4,6,0,14,4/1/2022
9,Russia,Engineering Vehicles And Equipment,22,13,35,0,70,4/1/2022
10,Russia,Anti-Tank Guided Missiles,0,24,52,0,76,4/1/2022
11,Russia,"Man-Portable Air Defence Systems
",0,0,24,0,24,4/1/2022
12,Russia,Heavy Mortars,3,0,8,0,11,4/1/2022
13,Russia,Towed Artillery,9,5,29,4,47,4/1/2022
14,Russia,Self-Propelled Artillery,21,15,26,3,65,4/1/2022
15,Russia,Multiple Rocket Launchers,18,5,21,0,44,4/1/2022
16,Russia,Anti-Aircraft Guns,0,0,3,0,3,4/1/2022
17,Russia,Self-Propelled Anti-Aircraft Guns,5,3,3,0,11,4/1/2022
18,Russia,Surface-To-Air Missile Systems,21,7,12,1,41,4/1/2022
19,Russia,Radars,1,0,3,0,4,4/1/2022
20,Russia,Jammers And Deception Systems,2,0,2,2,6,4/1/2022
21,Russia,Aircraft,16,0,0,1,17,4/1/2022
22,Russia,Helicopters,33,2,0,3,38,4/1/2022
23,Russia,Unmanned Aerial Vehicles,13,0,6,0,19,4/1/2022
24,Russia,Naval Ships,1,0,0,2,3,4/1/2022
25,Russia,Logistics Trains,2,0,0,0,2,4/1/2022
26,Russia,"Trucks, Vehicles and Jeeps",387,59,205,16,667,4/1/2022
27,Ukraine,All Types,285,37,319,18,659,4/1/2022
28,Ukraine,Tanks,33,9,43,1,86,4/1/2022
29,Ukraine,Armoured Fighting Vehicles,26,4,35,0,65,4/1/2022
30,Ukraine,Infantry Fighting Vehicles,33,9,28,2,72,4/1/2022
31,Ukraine,Armoured Personnel Carriers,5,2,22,1,30,4/1/2022
32,Ukraine,Infantry Mobility Vehicles,14,1,31,1,47,4/1/2022
33,Ukraine,Engineering Vehicles,2,0,7,0,9,4/1/2022
34,Ukraine,Anti-tank Guided Missiles,0,0,53,0,53,4/1/2022
35,Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16,4/1/2022
36,Ukraine,Towed Artillery,8,3,11,3,25,4/1/2022
37,Ukraine,Self-Propelled Artillery,10,1,7,1,19,4/1/2022
38,Ukraine,Multiple Rocket Launchers,5,0,5,0,10,4/1/2022
39,Ukraine,Anti-Aircraft Guns,0,0,2,0,2,4/1/2022
40,Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1,4/1/2022
41,Ukraine,"Surface-To-Air Missile Systems
",27,1,5,0,33,4/1/2022
42,Ukraine,Radars,6,1,3,3,13,4/1/2022
43,Ukraine,Aircraft,11,0,0,1,12,4/1/2022
44,Ukraine,Helicopters,2,0,0,0,2,4/1/2022
45,Ukraine,Unmanned Aerial Vehicles,10,0,2,0,12,4/1/2022
46,Ukraine,Naval Ships,2,0,12,0,14,4/1/2022
47,Ukraine,"Trucks, Vehicles and Jeeps",78,5,117,5,205,4/1/2022
1,Russia,All Types,1786,266,1209,58,3319,5/1/2022
2,Russia,Tanks,311,49,229,17,606,5/1/2022
3,Russia,Armoured Fighting Vehicles,155,37,129,1,322,5/1/2022
4,Russia,Infantry Fighting Vehicles,390,46,209,6,651,5/1/2022
5,Russia,Armoured Personnel Carriers,35,14,52,2,103,5/1/2022
6,Russia,Mine-Resistant Ambush Protected,13,3,8,1,25,5/1/2022
7,Russia,Infantry Mobility Vehicles,62,5,32,2,101,5/1/2022
8,Russia,Command Posts And Communications Stations,32,8,31,0,71,5/1/2022
9,Russia,Engineering Vehicles And Equipment,40,15,66,0,121,5/1/2022
10,Russia,Heavy Mortars,4,0,8,0,12,5/1/2022
11,Russia,Towed Artillery,12,5,38,4,59,5/1/2022
12,Russia,Self-Propelled Artillery,43,16,41,2,102,5/1/2022
13,Russia,Multiple Rocket Launchers,29,5,29,0,63,5/1/2022
14,Russia,Anti-Aircraft Guns,0,0,4,0,4,5/1/2022
15,Russia,Self-Propelled Anti-Aircraft Guns,6,2,7,0,15,5/1/2022
16,Russia,Surface-To-Air Missile Systems,26,7,20,1,54,5/1/2022
17,Russia,Radars,4,0,6,0,10,5/1/2022
18,Russia,Jammers And Deception Systems,4,0,2,2,8,5/1/2022
19,Russia,Aircraft,25,0,0,1,26,5/1/2022
20,Russia,Helicopters,36,1,1,1,39,5/1/2022
21,Russia,Unmanned Aerial Vehicles,31,0,18,0,49,5/1/2022
22,Russia,Naval Ships,2,0,0,2,4,5/1/2022
23,Russia,Logistics Trains,2,0,0,0,2,5/1/2022
24,Russia,"Trucks, Vehicles and Jeeps",540,63,257,18,878,5/1/2022
25,Ukraine,All Types,449,35,451,22,957,5/1/2022
26,Ukraine,Tanks,63,8,73,1,145,5/1/2022
27,Ukraine,Armoured Fighting Vehicles,33,4,52,0,89,5/1/2022
28,Ukraine,Infantry Fighting Vehicles,52,9,41,3,105,5/1/2022
29,Ukraine,Armoured Personnel Carriers,14,3,39,1,57,5/1/2022
30,Ukraine,Infantry Mobility Vehicles,27,1,56,1,85,5/1/2022
31,Ukraine,Engineering Vehicles,2,0,10,0,12,5/1/2022
32,Ukraine,Towed Artillery,8,3,12,3,26,5/1/2022
33,Ukraine,Self-Propelled Artillery,10,1,12,4,27,5/1/2022
34,Ukraine,Multiple Rocket Launchers,11,0,5,0,16,5/1/2022
35,Ukraine,Anti-Aircraft Guns,0,0,2,0,2,5/1/2022
36,Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,2,0,2,5/1/2022
37,Ukraine,"Surface-To-Air Missile Systems
",35,1,6,0,42,5/1/2022
38,Ukraine,Radars And Communications Equipment,9,1,5,3,18,5/1/2022
39,Ukraine,Aircraft,19,0,0,1,20,5/1/2022
40,Ukraine,Helicopters,4,0,1,0,5,5/1/2022
41,Ukraine,Unmanned Aerial Vehicles,19,0,2,0,21,5/1/2022
42,Ukraine,Naval Ships,4,0,13,0,17,5/1/2022
43,Ukraine,"Trucks, Vehicles and Jeeps",127,5,132,5,269,5/1/2022
1,Russia,All Types,2455,316,1362,72,4205,6/1/2022
2,Russia,Tanks,418,55,254,20,747,6/1/2022
3,Russia,Armoured Fighting Vehicles,239,36,135,3,413,6/1/2022
4,Russia,Infantry Fighting Vehicles,508,64,241,12,825,6/1/2022
5,Russia,Armoured Personnel Carriers,41,14,55,2,112,6/1/2022
6,Russia,Mine-Resistant Ambush Protected,14,3,8,1,26,6/1/2022
7,Russia,Infantry Mobility Vehicles,70,5,33,2,110,6/1/2022
8,Russia,Command Posts And Communications Stations,37,8,34,0,79,6/1/2022
9,Russia,Engineering Vehicles And Equipment,50,40,69,0,159,6/1/2022
10,Russia,Self-Propelled Anti-Tank Missile Systems,7,3,7,0,17,6/1/2022
11,Russia,Heavy Mortars,5,0,8,0,13,6/1/2022
12,Russia,Towed Artillery,13,5,39,4,61,6/1/2022
13,Russia,Self-Propelled Artillery,54,16,48,2,120,6/1/2022
14,Russia,Multiple Rocket Launchers,33,3,32,1,69,6/1/2022
15,Russia,Anti-Aircraft Guns,2,0,5,0,7,6/1/2022
16,Russia,Self-Propelled Anti-Aircraft Guns,7,2,6,0,15,6/1/2022
17,Russia,Surface-To-Air Missile Systems,34,7,21,1,63,6/1/2022
18,Russia,Radars,4,0,6,0,10,6/1/2022
19,Russia,Jammers And Deception Systems,5,0,2,2,9,6/1/2022
20,Russia,Aircraft,29,0,0,0,29,6/1/2022
21,Russia,Helicopters,40,1,1,1,43,6/1/2022
22,Russia,Unmanned Aerial Vehicles,42,0,35,0,77,6/1/2022
23,Russia,Naval Ships,7,0,0,2,9,6/1/2022
24,Russia,Logistics Trains,2,0,0,0,2,6/1/2022
