,X,Countries,Announcement.Date,Type.of.Aid.General,Total,Converted.Value.in.EUR,Total_in_USD,Date,Week,Month,Total_by_Country,Cumulative,monthly_total
1,7,Canada,2/28/2022,Military,"12,000,000","8,209,057",8701600.42,2/28/2022,2/27/2022,2/1/2022,1759044024,263223423,1.004908902
2,34,Canada,3/9/2022,Military,"50,000,000","34,204,406",36256670.36,3/9/2022,3/6/2022,3/1/2022,1759044024,312532494.6,10.92042343
3,62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,4/1/2022,1759044024,675099192.9,21.98663877
4,92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,5/1/2022,3711366081,142266602.6,24.12174384
5,103,Netherlands,6/28/2022,Military,"41,336,722","37,381,734",39624638.04,6/28/2022,6/26/2022,6/1/2022,2630114114,190044733,25.47799282
6,121,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,7/1/2022,3.18E+09,1939808921,26.09043593
7,126,Denmark,8/11/2022,Military,"820,000,000","110,055,296",116658613.8,8/11/2022,8/7/2022,8/1/2022,3711366081,401191819,26.4333941
8,140,Denmark,9/1/2022,Military,"974,000,000","130,724,218",138567671.1,9/1/2022,8/28/2022,9/1/2022,3711366081,539759490.1,33.33357608
9,164,European Peace Facility,10/17/2022,Military,"600,000,000","600,000,000",6.36E+08,10/17/2022,10/16/2022,10/1/2022,5.94E+09,3.29E+09,34.22836963
10,178,Sweden,11/16/2022,Military,"3,000,000,000","257,858,230",273329723.8,11/16/2022,11/13/2022,11/1/2022,1562735364,535516707.5,35.30133724
11,201,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,12/1/2022,44626786038,44626786038,59.81775062
12,204,Canada,1/27/2023,Military,"8,552,294","7,734,033",8198074.98,1/27/2023,1/22/2023,1/1/2023,1759044024,1171312044,63.70562801
13,228,Germany,2/24/2023,Military,"70,000,000","70,000,000",74200000,2/24/2023,2/19/2023,2/1/2023,18112538000,4475638000,67.4695762
14,251,Poland,3/16/2023,Military,"168,000,000","151,926,207",161041779.4,3/16/2023,3/12/2023,3/1/2023,3.18E+09,2712510109,71.7390149
15,217,European Peace Facility,1/23/2023,Military,"500,000,000","500,000,000",5.30E+08,1/23/2023,1/22/2023,4/1/2023,5.94E+09,3.82E+09,79.35554979
16,275,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,5/1/2023,3711366081,3711366081,91.94008871
17,303,Sweden,6/22/2023,Military,"20,000,000","1,719,055",1822198.3,6/22/2023,6/18/2023,6/1/2023,1562735364,1562735364,92.32543289
18,266,European Peace Facility,4/13/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,4/13/2023,4/9/2023,7/1/2023,5.94E+09,5.94E+09,92.3608194
