"","X","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1",19,"Russia","Aircraft",3,0,0,0,3,"3/1/2022"
"2",35,"Ukraine","Aircraft",5,0,0,0,5,"3/1/2022"
"3",21,"Russia","Aircraft",16,0,0,1,17,"4/1/2022"
"4",43,"Ukraine","Aircraft",11,0,0,1,12,"4/1/2022"
"5",19,"Russia","Aircraft",25,0,0,1,26,"5/1/2022"
"6",39,"Ukraine","Aircraft",19,0,0,1,20,"5/1/2022"
"7",20,"Russia","Aircraft",29,0,0,0,29,"6/1/2022"
"8",43,"Ukraine","Aircraft",25,0,0,0,25,"6/1/2022"
"9",20,"Russia","Aircraft",34,0,0,1,35,"7/1/2022"
"10",44,"Ukraine","Aircraft",29,0,0,0,29,"7/1/2022"
"11",20,"Russia","Aircraft",37,0,0,1,38,"8/1/2022"
"12",44,"Ukraine","Aircraft",39,0,0,0,39,"8/1/2022"
"13",21,"Russia","Aircraft",50,0,0,2,52,"9/1/2022"
"14",46,"Ukraine","Aircraft",40,0,1,0,41,"9/1/2022"
"15",21,"Russia","Aircraft",57,0,0,2,59,"10/1/2022"
"16",46,"Ukraine","Aircraft",47,0,1,0,48,"10/1/2022"
"17",21,"Russia","Aircraft",61,0,0,2,63,"11/1/2022"
"18",46,"Ukraine","Aircraft",53,0,1,0,54,"11/1/2022"
"19",21,"Russia","Aircraft",61,0,0,2,63,"12/1/2022"
"20",46,"Ukraine","Aircraft",54,0,1,0,55,"12/1/2022"
"21",20,"Russia","Aircraft",63,0,0,4,67,"1/1/2023"
"22",45,"Ukraine","Aircraft",54,0,1,0,55,"1/1/2023"
"23",20,"Russia","Aircraft",64,0,0,5,69,"2/1/2023"
"24",45,"Ukraine","Aircraft",56,0,1,0,57,"2/1/2023"
"25",20,"Russia","Aircraft",68,0,0,7,75,"3/1/2023"
"26",45,"Ukraine","Aircraft",58,0,1,0,59,"3/1/2023"
"27",20,"Russia","Aircraft",70,0,0,8,78,"4/1/2023"
"28",45,"Ukraine","Aircraft",61,0,1,0,62,"4/1/2023"
"29",20,"Russia","Aircraft",72,0,0,8,80,"5/1/2023"
"30",45,"Ukraine","Aircraft",65,0,1,0,66,"5/1/2023"
"31",20,"Russia","Aircraft",74,0,0,8,82,"6/1/2023"
"32",45,"Ukraine","Aircraft",66,0,1,0,67,"6/1/2023"
"33",20,"Russia","Aircraft",75,0,0,8,83,"7/1/2023"
"34",45,"Ukraine","Aircraft",67,0,1,0,68,"7/1/2023"
"35",20,"Russia","Aircraft",76,0,0,8,84,"8/1/2023"
"36",45,"Ukraine","Aircraft",68,0,1,0,69,"8/1/2023"
"37",20,"Russia","Aircraft",81,0,0,7,88,"9/1/2023"
"38",45,"Ukraine","Aircraft",70,0,1,0,71,"9/1/2023"
"39",20,"Russia","Aircraft",84,0,0,8,92,"10/1/2023"
"40",45,"Ukraine","Aircraft",71,0,1,1,73,"10/1/2023"
"41",20,"Russia","Aircraft",85,0,0,8,93,"11/1/2023"
"42",45,"Ukraine","Aircraft",75,0,1,1,77,"11/1/2023"
"43",20,"Russia","Aircraft",86,0,0,8,94,"12/1/2023"
"44",45,"Ukraine","Aircraft",76,0,1,1,78,"12/1/2023"
