"","X","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1",20,"Russia","Helicopters",4,0,0,2,6,"3/1/2022"
"2",22,"Russia","Helicopters",33,2,0,3,38,"4/1/2022"
"3",44,"Ukraine","Helicopters",2,0,0,0,2,"4/1/2022"
"4",20,"Russia","Helicopters",36,1,1,1,39,"5/1/2022"
"5",40,"Ukraine","Helicopters",4,0,1,0,5,"5/1/2022"
"6",21,"Russia","Helicopters",40,1,1,1,43,"6/1/2022"
"7",44,"Ukraine","Helicopters",8,0,3,0,11,"6/1/2022"
"8",21,"Russia","Helicopters",47,0,1,1,49,"7/1/2022"
"9",45,"Ukraine","Helicopters",8,0,3,0,11,"7/1/2022"
"10",21,"Russia","Helicopters",47,0,1,1,49,"8/1/2022"
"11",45,"Ukraine","Helicopters",8,0,3,0,11,"8/1/2022"
"12",22,"Russia","Helicopters",48,0,1,0,49,"9/1/2022"
"13",47,"Ukraine","Helicopters",10,0,3,0,13,"9/1/2022"
"14",22,"Russia","Helicopters",50,0,1,0,51,"10/1/2022"
"15",47,"Ukraine","Helicopters",11,0,3,0,14,"10/1/2022"
"16",22,"Russia","Helicopters",56,0,1,0,57,"11/1/2022"
"17",47,"Ukraine","Helicopters",18,0,3,1,22,"11/1/2022"
"18",22,"Russia","Helicopters",60,0,1,10,71,"12/1/2022"
"19",47,"Ukraine","Helicopters",19,0,3,1,23,"12/1/2022"
"20",21,"Russia","Helicopters",63,0,1,10,74,"1/1/2023"
"21",46,"Ukraine","Helicopters",24,0,3,1,28,"1/1/2023"
"22",21,"Russia","Helicopters",64,0,1,10,75,"2/1/2023"
"23",46,"Ukraine","Helicopters",25,0,3,1,29,"2/1/2023"
"24",21,"Russia","Helicopters",67,0,1,10,78,"3/1/2023"
"25",46,"Ukraine","Helicopters",27,0,3,1,31,"3/1/2023"
"26",21,"Russia","Helicopters",69,0,1,10,80,"4/1/2023"
"27",46,"Ukraine","Helicopters",25,0,3,1,29,"4/1/2023"
"28",21,"Russia","Helicopters",73,0,1,10,84,"5/1/2023"
"29",46,"Ukraine","Helicopters",25,0,3,1,29,"5/1/2023"
"30",21,"Russia","Helicopters",79,0,1,10,90,"6/1/2023"
"31",46,"Ukraine","Helicopters",25,0,3,2,30,"6/1/2023"
"32",21,"Russia","Helicopters",85,0,1,12,98,"7/1/2023"
"33",46,"Ukraine","Helicopters",26,0,3,2,31,"7/1/2023"
"34",21,"Russia","Helicopters",87,0,1,12,100,"8/1/2023"
"35",46,"Ukraine","Helicopters",26,0,3,2,31,"8/1/2023"
"36",21,"Russia","Helicopters",90,0,2,12,104,"9/1/2023"
"37",46,"Ukraine","Helicopters",29,0,3,2,34,"9/1/2023"
"38",21,"Russia","Helicopters",91,0,2,13,106,"10/1/2023"
"39",46,"Ukraine","Helicopters",32,0,3,2,37,"10/1/2023"
"40",21,"Russia","Helicopters",102,0,2,28,132,"11/1/2023"
"41",46,"Ukraine","Helicopters",33,0,3,1,37,"11/1/2023"
"42",21,"Russia","Helicopters",102,0,2,28,132,"12/1/2023"
"43",46,"Ukraine","Helicopters",32,0,3,1,36,"12/1/2023"
