"","X","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1",24,"Russia","Naval Ships",1,0,0,2,3,"4/1/2022"
"2",46,"Ukraine","Naval Ships",2,0,12,0,14,"4/1/2022"
"3",22,"Russia","Naval Ships",2,0,0,2,4,"5/1/2022"
"4",42,"Ukraine","Naval Ships",4,0,13,0,17,"5/1/2022"
"5",23,"Russia","Naval Ships",7,0,0,2,9,"6/1/2022"
"6",46,"Ukraine","Naval Ships",5,0,13,0,18,"6/1/2022"
"7",23,"Russia","Naval Ships",8,0,0,2,10,"7/1/2022"
"8",47,"Ukraine","Naval Ships",5,0,13,0,18,"7/1/2022"
"9",23,"Russia","Naval Ships",8,0,0,3,11,"8/1/2022"
"10",47,"Ukraine","Naval Ships",6,0,13,0,19,"8/1/2022"
"11",24,"Russia","Naval Ships",8,0,0,3,11,"9/1/2022"
"12",49,"Ukraine","Naval Ships",7,0,13,0,20,"9/1/2022"
"13",24,"Russia","Naval Ships",8,0,0,3,11,"10/1/2022"
"14",49,"Ukraine","Naval Ships",7,0,13,0,20,"10/1/2022"
"15",24,"Russia","Naval Ships",8,0,0,5,13,"11/1/2022"
"16",49,"Ukraine","Naval Ships",7,0,13,0,20,"11/1/2022"
"17",25,"Russia","Naval Ships",8,0,0,4,12,"12/1/2022"
"18",50,"Ukraine","Naval Ships",8,0,13,1,22,"12/1/2022"
"19",24,"Russia","Naval Ships",8,0,0,4,12,"1/1/2023"
"20",49,"Ukraine","Naval Ships",8,0,14,1,23,"1/1/2023"
"21",24,"Russia","Naval Ships",8,0,0,4,12,"2/1/2023"
"22",49,"Ukraine","Naval Ships",8,0,16,1,25,"2/1/2023"
"23",24,"Russia","Naval Ships",8,0,0,4,12,"3/1/2023"
"24",49,"Ukraine","Naval Ships",8,0,16,1,25,"3/1/2023"
"25",24,"Russia","Naval Ships",8,0,0,4,12,"4/1/2023"
"26",49,"Ukraine","Naval Ships",8,0,16,1,25,"4/1/2023"
"27",24,"Russia","Naval Ships",8,0,0,4,12,"5/1/2023"
"28",49,"Ukraine","Naval Ships",9,0,16,1,26,"5/1/2023"
"29",24,"Russia","Naval Ships",8,0,0,4,12,"6/1/2023"
"30",49,"Ukraine","Naval Ships",9,0,16,1,26,"6/1/2023"
"31",24,"Russia","Naval Ships",8,0,0,4,12,"7/1/2023"
"32",49,"Ukraine","Naval Ships",9,0,16,1,26,"7/1/2023"
"33",24,"Russia","Naval Ships",8,0,0,4,12,"8/1/2023"
"34",49,"Ukraine","Naval Ships",9,0,16,1,26,"8/1/2023"
"35",24,"Russia","Naval Ships",8,0,0,5,13,"9/1/2023"
"36",49,"Ukraine","Naval Ships",9,0,17,1,27,"9/1/2023"
"37",49,"Ukraine","Naval Ships",9,0,17,1,27,"10/1/2023"
"38",49,"Ukraine","Naval Ships",9,0,17,1,27,"11/1/2023"
"39",49,"Ukraine","Naval Ships",9,0,17,1,27,"12/1/2023"
