"","X","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1",2,"Russia","Tanks",13,19,11,1,44,"3/1/2022"
"2",24,"Ukraine","Tanks",5,9,1,0,15,"3/1/2022"
"3",2,"Russia","Tanks",179,42,161,6,388,"4/1/2022"
"4",28,"Ukraine","Tanks",33,9,43,1,86,"4/1/2022"
"5",2,"Russia","Tanks",311,49,229,17,606,"5/1/2022"
"6",26,"Ukraine","Tanks",63,8,73,1,145,"5/1/2022"
"7",2,"Russia","Tanks",418,55,254,20,747,"6/1/2022"
"8",27,"Ukraine","Tanks",83,8,93,3,187,"6/1/2022"
"9",2,"Russia","Tanks",461,50,272,25,808,"7/1/2022"
"10",27,"Ukraine","Tanks",87,8,99,5,199,"7/1/2022"
"11",2,"Russia","Tanks",559,49,278,34,920,"8/1/2022"
"12",27,"Ukraine","Tanks",110,8,108,5,231,"8/1/2022"
"13",2,"Russia","Tanks",614,51,289,40,994,"9/1/2022"
"14",28,"Ukraine","Tanks",133,7,104,5,249,"9/1/2022"
"15",2,"Russia","Tanks",719,52,411,50,1232,"10/1/2022"
"16",28,"Ukraine","Tanks",151,9,109,5,274,"10/1/2022"
"17",2,"Russia","Tanks",812,53,491,61,1417,"11/1/2022"
"18",28,"Ukraine","Tanks",186,14,128,12,340,"11/1/2022"
"19",2,"Russia","Tanks",880,56,530,64,1530,"12/1/2022"
"20",28,"Ukraine","Tanks",216,13,130,18,377,"12/1/2022"
"21",2,"Russia","Tanks",937,60,531,72,1600,"1/1/2023"
"22",27,"Ukraine","Tanks",256,16,144,23,439,"1/1/2023"
"23",2,"Russia","Tanks",989,60,545,77,1671,"2/1/2023"
"24",27,"Ukraine","Tanks",269,16,144,24,453,"2/1/2023"
"25",2,"Russia","Tanks",1051,97,548,86,1782,"3/1/2023"
"26",27,"Ukraine","Tanks",280,17,143,30,470,"3/1/2023"
"27",2,"Russia","Tanks",1155,100,553,100,1908,"4/1/2023"
"28",27,"Ukraine","Tanks",300,17,144,28,489,"4/1/2023"
"29",2,"Russia","Tanks",1175,103,545,102,1925,"5/1/2023"
"30",27,"Ukraine","Tanks",306,18,140,29,493,"5/1/2023"
"31",2,"Russia","Tanks",1240,113,544,106,2003,"6/1/2023"
"32",27,"Ukraine","Tanks",316,22,139,31,508,"6/1/2023"
"33",2,"Russia","Tanks",1307,112,544,119,2082,"7/1/2023"
"34",27,"Ukraine","Tanks",351,28,140,38,557,"7/1/2023"
"35",2,"Russia","Tanks",1402,115,547,124,2188,"8/1/2023"
"36",27,"Ukraine","Tanks",374,31,141,49,595,"8/1/2023"
"37",2,"Russia","Tanks",1472,131,549,129,2281,"9/1/2023"
"38",27,"Ukraine","Tanks",405,31,143,52,631,"9/1/2023"
"39",2,"Russia","Tanks",1518,134,550,129,2331,"10/1/2023"
"40",27,"Ukraine","Tanks",429,32,142,53,656,"10/1/2023"
"41",2,"Russia","Tanks",1593,157,550,139,2439,"11/1/2023"
"42",27,"Ukraine","Tanks",454,37,141,56,688,"11/1/2023"
"43",2,"Russia","Tanks",1646,176,548,140,2510,"12/1/2023"
"44",27,"Ukraine","Tanks",466,38,133,56,693,"12/1/2023"
