,Countries,Announcement.Date,Type.of.Aid.General,Total,Converted.Value.in.EUR,Total_in_USD,Date,Week,Month,Total_by_Country,Cumulative
297,United States,3/15/2022,Military,"9,025,000,000","8,161,512,027",8651202749,3/15/2022,3/13/2022,3/1/2022,44626786038,8651202749
298,United States,4/25/2022,Military,"1,547,000,000","1,398,987,159",1482926389,4/25/2022,4/24/2022,4/1/2022,44626786038,10134129138
299,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,4/1/2022,44626786038,16173195877
300,United States,9/30/2022,Military,"3,700,000,000","3,345,993,851",3546753482,9/30/2022,9/25/2022,9/1/2022,44626786038,19719949359
301,United States,12/6/2022,Military,"10,800,000,000","9,766,684,753",10352685838,12/6/2022,12/4/2022,12/1/2022,44626786038,30072635197
302,United States,9/30/2022,Military,"3,000,000,000","2,712,967,987",2875746066,9/30/2022,9/25/2022,9/1/2022,44626786038,32948381263
303,United States,12/6/2022,Military,"9,000,000,000","8,138,903,961",8627238199,12/6/2022,12/4/2022,12/1/2022,44626786038,41575619462
304,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,12/1/2022,44626786038,44626786038
130,Germany,2/24/2023,Military,"1,630,000,000","1,630,000,000",1727800000,2/24/2023,2/19/2023,2/1/2023,18112538000,1727800000
131,Germany,2/24/2023,Military,"1,880,000,000","1,880,000,000",1992800000,2/24/2023,2/19/2023,2/1/2023,18112538000,3720600000
132,Germany,4/24/2023,Military,"2,320,000,000","2,320,000,000",2459200000,4/24/2023,4/23/2023,4/1/2023,18112538000,6179800000
133,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,8962300000
134,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,11744800000
135,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,14527300000
136,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,17309800000
137,Germany,2/24/2023,Military,"530,000,000","530,000,000",561800000,2/24/2023,2/19/2023,2/1/2023,18112538000,17871600000
138,Germany,2/24/2023,Military,"70,000,000","70,000,000",74200000,2/24/2023,2/19/2023,2/1/2023,18112538000,17945800000
139,Germany,12/21/2022,Military,"50,000,000","50,000,000",5.30E+07,12/21/2022,12/18/2022,12/1/2022,18112538000,17998800000
140,Germany,12/21/2022,Military,"36,000,000","36,000,000",38160000,12/21/2022,12/18/2022,12/1/2022,18112538000,18036960000
141,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,8/1/2022,18112538000,18064838000
142,Germany,4/24/2024,Military,"40,000,000","40,000,000",42400000,4/24/2024,4/21/2024,4/1/2024,18112538000,18107238000
143,Germany,4/24/2024,Military,"5,000,000","5,000,000",5300000,4/24/2024,4/21/2024,4/1/2024,18112538000,18112538000
283,United Kingdom,2/1/2022,Military,"80,000,000","72,345,813",76686561.78,2/1/2022,1/30/2022,2/1/2022,6972845556,76686561.78
284,United Kingdom,3/9/2022,Military,"126,600,000","114,487,249",121356483.9,3/9/2022,3/6/2022,3/1/2022,6972845556,198043045.7
285,United Kingdom,3/23/2022,Military,"120,000,000","108,518,719",115029842.1,3/23/2022,3/20/2022,3/1/2022,6972845556,313072887.8
286,United Kingdom,3/24/2022,Military,"468,000,000","423,223,006",448616386.4,3/24/2022,3/20/2022,3/1/2022,6972845556,761689274.2
287,United Kingdom,4/8/2022,Military,"100,000,000","116,474,096",123462541.8,4/8/2022,4/3/2022,4/1/2022,6972845556,885151816
288,United Kingdom,4/9/2022,Military,"63,531,834","57,453,278",60900474.68,4/9/2022,4/3/2022,4/1/2022,6972845556,946052290.7
289,United Kingdom,5/19/2022,Military,"96,000","86,815",92023.9,5/19/2022,5/15/2022,5/1/2022,6972845556,946144314.6
290,United Kingdom,5/20/2022,Military,"1,300,000,000","1,514,163,250",1605013045,5/20/2022,5/15/2022,5/1/2022,6972845556,2551157360
291,United Kingdom,6/30/2022,Military,"1,000,000,000","1,164,740,962",1234625420,6/30/2022,6/26/2022,6/1/2022,6972845556,3785782780
292,United Kingdom,10/13/2022,Military,"252,922,852","228,723,867",242447299,10/13/2022,10/9/2022,10/1/2022,6972845556,4028230079
293,United Kingdom,10/13/2022,Military,"10,000,000","11,647,410",12346254.6,10/13/2022,10/9/2022,10/1/2022,6972845556,4040576333
294,United Kingdom,11/19/2022,Military,"50,000,000","58,237,048",61731270.88,11/19/2022,11/13/2022,11/1/2022,6972845556,4102307604
295,United Kingdom,11/23/2022,Military,"32,234,578","29,150,459",30899486.54,11/23/2022,11/20/2022,11/1/2022,6972845556,4133207091
296,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,1/1/2023,6972845556,6972845556
305,European Peace Facility,2/27/2022,Military,"500,000,000","500,000,000",5.30E+08,2/27/2022,2/27/2022,2/1/2022,5.94E+09,5.30E+08
306,European Peace Facility,3/23/2022,Military,"500,000,000","500,000,000",5.30E+08,3/23/2022,3/20/2022,3/1/2022,5.94E+09,1.06E+09
307,European Peace Facility,4/8/2022,Military,"500,000,000","500,000,000",5.30E+08,4/8/2022,4/3/2022,4/1/2022,5.94E+09,1.59E+09
308,European Peace Facility,5/13/2022,Military,"500,000,000","500,000,000",5.30E+08,5/13/2022,5/8/2022,5/1/2022,5.94E+09,2.12E+09
