,Countries,Announcement.Date,Type.of.Aid.General,Total,Converted.Value.in.EUR,Total_in_USD,Date,Week,Month,Total_by_Country,Cumulative
7,Canada,2/28/2022,Military,"12,000,000","8,209,057",8701600.42,2/28/2022,2/27/2022,2/1/2022,1759044024,263223423
16,Netherlands,2/18/2022,Military,"50,000,000","50,000,000",5.30E+07,2/18/2022,2/13/2022,2/1/2022,2630114114,5.30E+07
23,Sweden,2/27/2022,Military,"500,000,000","42,976,372",45554954.32,2/27/2022,2/27/2022,2/1/2022,1562735364,81998917.14
24,United Kingdom,2/1/2022,Military,"80,000,000","72,345,813",76686561.78,2/1/2022,1/30/2022,2/1/2022,6972845556,76686561.78
25,European Peace Facility,2/27/2022,Military,"500,000,000","500,000,000",5.30E+08,2/27/2022,2/27/2022,2/1/2022,5.94E+09,5.30E+08
56,United States,3/15/2022,Military,"9,025,000,000","8,161,512,027",8651202749,3/15/2022,3/13/2022,2/1/2022,44626786038,0
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,2/1/2022,3711366081,0
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,2/1/2022,3913090222,0
78,Poland,4/29/2022,Military,"1,800,000,000","1,800,000,000",1.91E+09,4/29/2022,4/24/2022,2/1/2022,3180000000,0
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,2/1/2022,18112538000,0
34,Canada,3/9/2022,Military,"50,000,000","34,204,406",36256670.36,3/9/2022,3/6/2022,3/1/2022,1759044024,312532494.6
55,United Kingdom,3/24/2022,Military,"468,000,000","423,223,006",448616386.4,3/24/2022,3/20/2022,3/1/2022,6972845556,761689274.2
56,United States,3/15/2022,Military,"9,025,000,000","8,161,512,027",8651202749,3/15/2022,3/13/2022,3/1/2022,44626786038,8651202749
57,European Peace Facility,3/23/2022,Military,"500,000,000","500,000,000",5.30E+08,3/23/2022,3/20/2022,3/1/2022,5.94E+09,1.06E+09
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,3/1/2022,3711366081,0
16,Netherlands,2/18/2022,Military,"50,000,000","50,000,000",5.30E+07,2/18/2022,2/13/2022,3/1/2022,2630114114,5.30E+07
77,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,3/1/2022,3913090222,0
78,Poland,4/29/2022,Military,"1,800,000,000","1,800,000,000",1.91E+09,4/29/2022,4/24/2022,3/1/2022,3180000000,0
23,Sweden,2/27/2022,Military,"500,000,000","42,976,372",45554954.32,2/27/2022,2/27/2022,3/1/2022,1562735364,81998917.14
129,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,3/1/2022,18112538000,0
62,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,4/1/2022,1759044024,675099192.9
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,4/1/2022,3711366081,142266602.6
