"","Countries","Total_by_Country"
"1","Australia",0.4429629177
"2","Austria",0.00343879264
"3","Belgium",0.32436
"4","Bulgaria",0.26981781134
"5","Canada",1.75904402364
"6","Croatia",0.1908
"7","Czech Republic",1.12882434034
"8","Denmark",3.7113660805
"9","Estonia",0.446571958
"10","Finland",1.292882
"11","France",0.56512883034
"12","Germany",18.112538
"13","Greece",0.19465758276
"14","Ireland",0.004081
"15","Iceland",0.0258409079
"16","Italy",0.69864525164
"17","Japan",0.03110790374
"18","Latvia",0.3913870701
"19","Lithuania",0.75770602212
"20","Luxembourg",0.1055659459
"21","Netherlands",2.63011411384
"22","New Zealand",0.02047415334
"23","Norway",3.91309022186
"24","Poland",3.17999999996
"25","Portugal",0.08810871792
"26","South Korea",0.0034317235
"27","Romania",0.00397562328
"28","Slovakia",0.70751961622
"29","Slovenia",0.06646039092
"30","Spain",0.35001871828
"31","Sweden",1.56273536372
"32","Turkey",0.0643151025
"33","United Kingdom",6.97284555558
"34","United States",44.626786038
"35","European Peace Facility",5.936
